Input,Output
0.062195,-0.251831
-0.060974,0.228485
-0.666290,0.563904
-0.786926,0.275421
-0.498627,0.049774
-0.389740,0.235229
-0.244476,0.139862
-0.864532,0.098541
-0.904999,-0.093201
-0.398743,0.480408
-0.142303,0.752808
-0.274902,0.156952
-0.562683,-0.221954
-0.778198,0.363190
-0.447052,0.644897
0.062408,-0.038177
-0.047913,-0.299286
-0.084686,0.026001
-0.317841,0.259064
0.254150,0.151917
0.603394,0.147308
0.108826,-0.288300
0.110107,0.244812
0.214783,0.179688
0.095673,0.087494
0.818665,-0.242126
0.691742,0.245270
0.091888,0.191803
0.172455,0.204987
0.531738,0.320190
0.688080,0.285370
0.403442,0.322876
0.389801,0.246216
0.391907,0.314301
0.653809,0.282227
0.715973,0.355347
0.564117,0.266937
0.338867,0.313782
0.193207,0.220795
0.513153,0.322540
0.621521,0.274750
0.398895,0.321259
0.123810,0.207947
0.032257,0.256622
-0.099701,0.290192
0.355347,0.302734
0.213806,0.220917
-0.289032,0.462799
-0.486115,0.428680
-0.091461,0.741547
-0.196808,0.167969
-0.314819,-0.183929
-0.542542,0.438934
-0.614868,0.589447
-0.187561,0.488861
-0.323578,-0.226990
-0.513611,-0.102081
-0.689636,0.389801
-0.758240,0.533508
-0.086151,0.512756
0.033600,-0.271393
-0.040344,0.229950
-0.434723,0.648926
-0.595093,0.352997
-0.210144,0.079102
0.123352,-0.283844
-0.118256,-0.215149
-0.196838,0.549530
-0.403809,0.414978
0.213745,-0.264069
0.365753,-0.082336
0.281097,0.292633
-0.089966,0.402679
0.204132,0.235535
0.345367,0.144623
0.924988,-0.051056
0.553070,0.084137
0.283630,0.103394
0.332092,0.101593
0.527222,0.090179
0.695923,0.072235
0.616425,0.080200
0.391296,0.097443
0.275635,0.103363
0.617340,0.083069
0.750916,0.068542
0.713104,0.073608
-0.221405,0.368408
0.158325,0.216980
0.649994,0.136963
0.666229,-0.035919
0.058350,0.112335
0.131622,0.114258
0.039001,0.096954
0.519470,0.071075
0.441101,0.080536
0.084839,0.108643
-0.346436,0.350311
-0.446930,0.372772
-0.190338,0.388580
-0.002869,0.418152
-0.101654,0.405823
-0.669952,0.319244
-0.604523,0.588776
-0.606842,0.343597
-0.087555,0.119843
-0.629425,-0.342804
-0.534821,-0.119934
-0.808289,0.358582
-0.528107,0.615204
0.008759,-0.057861
0.101196,-0.367767
-0.631073,-0.142120
-0.444763,0.464172
-0.080475,0.769073
-0.070496,0.186981
-0.052460,-0.142822
-0.323578,0.298218
-0.382080,0.667725
-0.071350,0.529022
0.227814,-0.238129
0.433929,-0.058289
0.697968,0.356445
0.078217,0.213104
0.302734,0.148163
0.780640,-0.045258
0.256897,0.099884
0.460632,0.095642
0.072784,0.111725
0.472168,0.085663
0.954742,0.045654
0.809326,0.063507
0.504761,0.091522
0.393219,0.097687
0.627472,0.080536
0.812836,0.064606
0.778137,0.069244
0.255798,0.105133
-0.027374,0.376099
0.409821,0.251892
0.459442,0.132843
0.430145,-0.029755
0.089813,0.111145
-0.096375,0.382965
0.182343,0.220917
0.322205,0.139832
0.072540,-0.026154
-0.353790,0.376160
-0.224823,0.402710
-0.135284,0.399445
-0.094971,0.405212
-0.284637,0.377167
-0.684113,0.314636
-0.630310,0.578735
-0.730316,0.297485
-0.381073,0.006287
-0.396912,-0.165802
-0.512268,-0.108307
-0.866913,0.345978
-0.575348,0.596832
-0.016174,0.538574
-0.297943,-0.216248
-0.303986,-0.233063
-0.606049,0.414734
-0.390259,0.669800
-0.023590,0.541931
-0.115387,-0.185669
-0.155823,0.214447
-0.621826,0.578461
0.289703,-0.001221
0.465424,-0.287628
0.113098,-0.265472
-0.059235,0.604858
-0.069336,0.523956
0.427673,-0.212494
0.777374,0.054169
0.319672,0.317200
0.074493,0.205505
0.323242,0.147705
0.470123,-0.035278
0.658478,0.076294
0.803741,0.065399
0.204712,0.106720
0.494202,0.095001
0.567352,0.083923
0.942413,0.054749
0.595276,0.083374
0.468292,0.094818
0.125122,0.110138
0.045837,0.117493
0.490784,0.084747
0.429169,0.087341
0.077972,0.109375
-0.272614,0.353333
-0.031769,0.436401
0.281433,0.250031
0.205811,0.147858
-0.259674,0.288361
-0.252747,0.870422
-0.395447,0.175537
0.040009,-0.305450
-0.576355,0.269592
-0.738464,0.533630
-0.831146,0.256531
-0.830231,-0.063629
-0.006165,0.627167
-0.213928,0.484924
-0.385132,-0.238190
-0.968353,-0.206451
-0.456940,0.458221
-0.250610,0.719574
0.039368,0.034607
-0.543915,-0.221680
-0.380127,0.486115
-0.321106,0.700836
0.092590,0.037048
-0.017151,-0.142242
-0.047638,0.339783
-0.192932,0.728333
0.059418,0.039795
0.329681,-0.264465
0.388336,0.297089
0.029602,0.193542
0.196350,0.152924
0.331085,-0.030334
0.607269,0.081848
0.468689,0.091125
0.776276,0.067078
0.198303,0.106537
0.488068,0.095306
0.688690,0.073151
0.742096,0.070404
0.283997,0.103058
0.260773,0.105560
0.376465,0.099213
0.930908,0.055542
0.573700,0.083893
0.488739,0.093018
0.055450,0.113525
0.031494,0.118256
0.640045,0.075653
0.462067,0.086212
0.095428,0.108856
0.047607,0.117767
0.155090,0.095001
0.121307,0.083466
-0.137482,0.368073
-0.303741,0.396637
-0.260193,0.380127
-0.070007,0.407318
-0.098328,0.405396
0.005432,0.203796
-0.446930,0.402466
-0.623169,0.626251
-0.408264,0.477692
-0.587311,-0.268402
-0.239319,0.057159
-0.713989,0.414124
-0.615875,0.587830
-0.373688,0.429626
0.023315,-0.297028
-0.194489,-0.223175
-0.475098,0.456421
-0.413391,0.664642
-0.594330,0.355530
-0.183807,0.089539
0.231781,-0.261597
-0.227966,-0.226776
-0.073456,0.593353
0.247589,-0.006378
0.154083,-0.346008
0.341034,-0.235443
-0.111420,0.589325
0.020325,-0.059967
0.337555,-0.324188
0.726135,-0.168274
0.578979,0.338104
0.347687,0.246155
0.234314,0.145172
0.520996,-0.035522
0.613007,0.079376
0.749023,0.069489
0.159637,0.108673
0.355164,0.102295
0.237000,0.104919
0.846069,0.063293
0.663696,0.076202
0.361816,0.099396
0.251770,0.105011
0.086609,0.113800
0.451813,0.085785
0.722961,0.063019
0.012909,0.111908
-0.319336,0.380341
-0.153717,0.414673
0.459869,0.268036
0.124054,0.145233
-0.420013,0.294861
-0.258331,0.782379
-0.170746,0.176361
-0.322968,-0.184448
-0.405548,0.481537
-0.350800,0.689636
-0.676727,0.090179
-0.450134,0.058075
-0.223328,0.295837
-0.466156,-0.027344
-0.539398,-0.215485
-0.657654,-0.153534
-0.311523,0.508209
-0.133728,0.757721
-0.261597,0.159393
-0.372894,-0.193420
-0.687317,0.393005
-0.021667,0.779480
-0.048370,0.189789
-0.136749,-0.155273
-0.275177,0.528107
-0.296051,0.451904
-0.025146,-0.181000
0.381134,-0.067169
0.096893,0.262238
-0.366180,0.358704
-0.031128,0.776886
0.493988,0.095398
0.400848,-0.242554
0.320251,0.288727
0.142578,0.211700
0.122742,0.148743
0.484039,-0.034210
0.810150,0.063721
0.696716,0.073853
0.417511,0.096405
0.538635,0.088440
0.469696,0.092255
0.624023,0.079651
0.564819,0.084686
-0.007111,0.367767
-0.112061,0.427979
0.225433,0.242035
0.322632,0.145020
0.263672,-0.027771
-0.147003,0.374298
0.139099,0.212524
0.268951,0.142090
0.184326,-0.026428
-0.039734,0.377197
-0.207489,0.411346
-0.547211,0.338196
-0.535309,0.616394
-0.119080,0.510651
-0.259094,-0.213623
-0.794586,-0.273804
-0.571899,0.421722
-0.319519,0.696198
-0.236084,0.157257
-0.293365,-0.181641
-0.480804,0.458374
-0.773071,0.533051
-0.377625,0.423706
0.157043,-0.271973
-0.376709,0.190002
-0.416412,0.650787
-1.000000,0.204651
0.025269,0.067627
0.194153,0.078552
0.094910,-0.302856
-0.421875,0.284729
-0.316864,0.686737
-0.166840,0.503357
0.192627,-0.247528
0.272461,-0.111359
0.053802,0.147491
-0.573059,0.033936
0.234589,0.089355
0.572113,0.137939
0.379547,-0.242462
0.266418,0.279572
0.343842,0.236969
0.515961,0.137451
0.836060,-0.045013
0.619171,0.080414
0.287201,0.103363
0.147522,0.110840
0.526917,0.093048
0.753021,0.067230
0.923065,0.057373
0.339722,0.101105
0.138489,0.111420
0.251556,0.106873
0.666046,0.078857
0.300018,0.100281
0.096191,0.113312
0.059723,0.097900
0.386688,0.075287
0.045563,0.100464
0.042267,0.093384
-0.364716,0.362427
-0.581146,0.351288
-0.312622,0.695221
-0.005402,0.547211
-0.501221,-0.250092
-0.311066,-0.041168
-0.917725,0.337219
-0.378784,0.668304
-0.102356,0.520355
-0.309570,-0.221344
-0.369354,-0.239594
-0.538910,0.435059
-0.693024,0.560425
-0.232330,0.473328
-0.225830,-0.212250
-0.643707,-0.265228
-0.421204,0.469421
-0.314972,0.701691
-0.157471,0.169556
